ProbeName	oil_1_1_Median	oil_1_3_Median	oil_2_4_Median	oil_2_5_Median	oil_2_6_Median	oil_3_7_Median	oil_3_8_Median	oil_3_9_Median	no_4_10_Median	no_4_11_Median	no_5_13_Median	no_5_14_Median	no_5_15_Median	no_6_16_Median	no_6_17_Median	no_6_18_Median	oil_1_19_Median	no_4_20_Median
CUST_2776_PI428634872	-2.538161448	-2.42249948	-2.606470909	-2.522401455	-2.974456275	-2.798024262	-3.235930483	-3.216533227	-1.938692303	-1.925513826	-1.674746469	-1.993132706	-1.789684263	-3.279079616	-3.153748677	-3.233334658	-2.536819077	-1.645330529
CUST_2777_PI428634872	-2.864637489	-3.363925801	-2.501558397	-1.929610035	-2.843104211	-2.227252325	-2.46990145	-1.608047004	-1.972949347	-1.970314618	-1.776747057	-1.905538268	-1.8881064	-2.003000425	-2.382779418	-2.070287596	-2.464476568	-2.444393956
CUST_2778_PI428634872	-0.20729586	-0.319957108	-0.434777367	-0.262981263	-0.24932693	-0.032860918	-0.155846994	-0.162116554	-0.226902313	-0.411452517	-0.165151472	-0.156443612	-0.080899733	-0.508396946	-0.237580532	-0.440043629	-0.188183444	-0.352101981
CUST_2779_PI428634872	2.2363424874	1.9103590687	3.1348797897	3.2542529549	2.6651126292	3.1954234412	2.7455570735	2.9918691034	3.1288128479	3.0277576016	1.8943229381	1.6371139241	1.5861242964	2.7031329691	2.6460234764	2.7900624581	2.3620658157	2.4648742076
CUST_277_PI428634872	-0.301942624	-0.414395532	0.3532274295	0.2182259737	0.2382915079	-0.087361591	-0.073437925	0.0482533457	0.3957638113	0.5550048076	-0.016515251	0.1451516563	0.0322593069	-0.232608317	-0.410956686	-0.126037904	0.0205875731	0.0142108915
CUST_2780_PI428634872	1.7959465337	1.2635007196	1.7851928904	1.4385191482	1.8749513398	1.7929617027	1.9969575451	1.6214994256	1.2112196118	1.2146036253	1.618229167	1.5752092663	1.6616459582	1.7036538154	1.6008814494	1.4772580726	1.4065045782	1.2192336998
CUST_2781_PI428634872	-5.024934247	-4.470226131	-5.335011433	-4.691161062	-4.990688895	-4.744237711	-4.953177376	-4.903139738	-4.335368667	-4.458379377	-5.169057212	-5.102708473	-5.175889407	-4.387614537	-4.345855723	-4.506520874	-4.766617305	-4.135697406
CUST_2782_PI428634872	-5.904647181	-5.316246286	-6.413262521	-6.361236737	-5.775704059	-6.555465821	-7.195232671	-7.36225158	-5.516485322	-5.786354582	-5.872153963	-5.369345254	-5.633299301	-6.413531863	-6.15233805	-6.359487099	-5.449721483	-5.254193158
CUST_2783_PI428634872	-3.757936034	-4.213936007	-3.603927077	-3.613592073	-4.114536752	-3.380672285	-3.518260597	-3.265699717	-4.030703917	-4.007831225	-4.042363999	-4.241908045	-4.348836996	-3.088058807	-3.102551391	-2.835237566	-3.817378751	-4.248242235
CUST_2784_PI428634872	-1.592665275	-2.289952716	-2.183219647	-2.19110541	-1.888044364	-1.554371049	-1.696451664	-1.735361669	-2.634196137	-2.618598455	-2.481131565	-2.495793017	-2.644423855	-1.553814914	-1.464403731	-1.394266223	-1.84557842	-2.408816786
